0 <= x 30; y_1 = 81.0 + -0.5667x; interpolation 
30 <= x 60; y_2 = 62.0 + 0.0667x; interpolation 
60 <= x 90; y_3 = 26.0 + 0.6667x; interpolation 
90 <= x 120; y_4 = 92.0 + -0.0667x; interpolation 
120 <= x 150; y_5 = 156.0 + -0.6x; interpolation 
150 <= x 180; y_6 = 51.0 + 0.1x; interpolation 
180 <= x 210; y_7 = -27.0 + 0.5333x; interpolation 
210 <= x 240; y_8 = 120.0 + -0.1667x; interpolation 
240 <= x 270; y_9 = 192.0 + -0.4667x; interpolation 
270 <= x 300; y_10 = 66.0 + 0.0x; interpolation 
300 <= x 330; y_11 = -164.0 + 0.7667x; interpolation 
330 <= x 360; y_12 = 133.0 + -0.1333x; interpolation 
360 <= x 390; y_13 = 289.0 + -0.5667x; interpolation 
390 <= x 420; y_14 = 29.0 + 0.1x; interpolation 
420 <= x 450; y_15 = -111.0 + 0.4333x; interpolation 
450 <= x 480; y_16 = 39.0 + 0.1x; interpolation 
480 <= x 510; y_17 = 423.0 + -0.7x; interpolation 
510 <= x 540; y_18 = 49.0 + 0.0333x; interpolation 
540 <= x 570; y_19 = -221.0 + 0.5333x; interpolation 
570 <= x 600; y_20 = 83.0 + 0.0x; interpolation 
600 <= x 630; y_21 = 403.0 + -0.5333x; interpolation 
630 <= x 660; y_22 = 4.0 + 0.1x; interpolation 
660 <= x 690; y_23 = -326.0 + 0.6x; interpolation 
690 <= x 720; y_24 = 111.0 + -0.0333x; interpolation 
720 <= x 750; y_25 = 615.0 + -0.7333x; interpolation 
750 <= x 780; y_26 = -85.0 + 0.2x; interpolation 
780 <= x 810; y_27 = -319.0 + 0.5x; interpolation 
810 <= x 840; y_28 = 167.0 + -0.1x; interpolation 
840 <= x 870; y_29 = 503.0 + -0.5x; interpolation 
870 <= x 900; y_30 = 10.0 + 0.0667x; interpolation 
900 <= x 930; y_31 = -500.0 + 0.6333x; interpolation 
930 <= x 960; y_32 = 182.0 + -0.1x; interpolation 
960 <= x 990; y_33 = 662.0 + -0.6x; interpolation 
990 <= x 1020; y_34 = -97.0 + 0.1667x; interpolation 
1020 <= x 1050; y_35 = -403.0 + 0.4667x; interpolation 
1050 <= x 1080; y_36 = 122.0 + -0.0333x; interpolation 
1080 <= x 1110; y_37 = 698.0 + -0.5667x; interpolation 
1110 <= x 1140; y_38 = -5.0 + 0.0667x; interpolation 
1140 <= x 1170; y_39 = -575.0 + 0.5667x; interpolation 
1170 <= x 1200; y_40 = 205.0 + -0.1x; interpolation 
1200 <= x 1230; y_41 = 645.0 + -0.4667x; interpolation 
1230 <= x 1260; y_42 = 30.0 + 0.0333x; interpolation 
1260 <= x 1290; y_43 = -474.0 + 0.4333x; interpolation 
1290 <= x 1320; y_44 = -44.0 + 0.1x; interpolation 
1320 <= x 1350; y_45 = 880.0 + -0.6x; interpolation 
1350 <= x 1380; y_46 = 25.0 + 0.0333x; interpolation 
1380 <= x 1410; y_47 = -849.0 + 0.6667x; interpolation 
1410 <= x 1440; y_48 = 326.0 + -0.1667x; interpolation 
1440 <= x 1470; y_49 = 854.0 + -0.5333x; interpolation 
1470 <= x 1500; y_50 = 70.0 + 0.0x; interpolation 
1500 <= x 1530; y_51 = -879.9 + 0.6333x; interpolation 
1530 <= x 1560; y_52 = 292.9 + -0.1333x; interpolation 
1560 <= x 1590; y_53 = 865.0 + -0.5x; interpolation 
1590 <= x 1620; y_54 = -36.099999999999994 + 0.0667x; interpolation 
