0 <= x 30; y_1 = 82.0 + -0.5667x; interpolation 
30 <= x 60; y_2 = 58.0 + 0.2333x; interpolation 
60 <= x 90; y_3 = 44.0 + 0.4667x; interpolation 
90 <= x 120; y_4 = 95.0 + -0.1x; interpolation 
120 <= x 150; y_5 = 63.0 + 0.1667x; interpolation 
150 <= x 180; y_6 = 108.0 + -0.1333x; interpolation 
180 <= x 210; y_7 = 84.0 + 0.0x; interpolation 
210 <= x 240; y_8 = 182.0 + -0.4667x; interpolation 
240 <= x 270; y_9 = -74.0 + 0.6x; interpolation 
270 <= x 300; y_10 = 133.0 + -0.1667x; interpolation 
300 <= x 330; y_11 = 23.0 + 0.2x; interpolation 
330 <= x 360; y_12 = 243.0 + -0.4667x; interpolation 
360 <= x 390; y_13 = 111.0 + -0.1x; interpolation 
390 <= x 420; y_14 = 59.0 + 0.0333x; interpolation 
420 <= x 450; y_15 = -109.0 + 0.4333x; interpolation 
450 <= x 480; y_16 = 86.0 + 0.0x; interpolation 
480 <= x 510; y_17 = 326.0 + -0.5x; interpolation 
510 <= x 540; y_18 = 54.0 + 0.0333x; interpolation 
540 <= x 570; y_19 = 234.0 + -0.3x; interpolation 
570 <= x 600; y_20 = -127.0 + 0.3333x; interpolation 
600 <= x 630; y_21 = 133.0 + -0.1x; interpolation 
630 <= x 660; y_22 = 49.0 + 0.0333x; interpolation 
660 <= x 690; y_23 = -127.0 + 0.3x; interpolation 
690 <= x 720; y_24 = 287.0 + -0.3x; interpolation 
720 <= x 750; y_25 = -361.0 + 0.6x; interpolation 
750 <= x 780; y_26 = 514.0 + -0.5667x; interpolation 
780 <= x 810; y_27 = -214.0 + 0.3667x; interpolation 
810 <= x 840; y_28 = 353.0 + -0.3333x; interpolation 
840 <= x 870; y_29 = -207.0 + 0.3333x; interpolation 
870 <= x 900; y_30 = 83.0 + 0.0x; interpolation 
900 <= x 930; y_31 = -7.0 + 0.1x; interpolation 
930 <= x 960; y_32 = 241.0 + -0.1667x; interpolation 
960 <= x 990; y_33 = 433.0 + -0.3667x; interpolation 
990 <= x 1020; y_34 = -326.0 + 0.4x; interpolation 
1020 <= x 1050; y_35 = 456.0 + -0.3667x; interpolation 
1050 <= x 1080; y_36 = -174.0 + 0.2333x; interpolation 
1080 <= x 1110; y_37 = 330.0 + -0.2333x; interpolation 
1110 <= x 1140; y_38 = -40.0 + 0.1x; interpolation 
1140 <= x 1170; y_39 = -268.0 + 0.3x; interpolation 
1170 <= x 1200; y_40 = 434.0 + -0.3x; interpolation 
1200 <= x 1230; y_41 = 194.0 + -0.1x; interpolation 
1230 <= x 1260; y_42 = -93.0 + 0.1333x; interpolation 
1260 <= x 1290; y_43 = 243.0 + -0.1333x; interpolation 
1290 <= x 1320; y_44 = -101.0 + 0.1333x; interpolation 
1320 <= x 1350; y_45 = -365.0 + 0.3333x; interpolation 
1350 <= x 1380; y_46 = 85.0 + 0.0x; interpolation 
1380 <= x 1410; y_47 = -53.0 + 0.1x; interpolation 
1410 <= x 1440; y_48 = 229.0 + -0.1x; interpolation 
1440 <= x 1470; y_49 = 133.0 + -0.0333x; interpolation 
1470 <= x 1500; y_50 = 280.0 + -0.1333x; interpolation 
1500 <= x 1530; y_51 = 730.0 + -0.4333x; interpolation 
1530 <= x 1560; y_52 = -136.9 + 0.1333x; interpolation 
1560 <= x 1590; y_53 = 71.0 + 0.0x; interpolation 
1590 <= x 1620; y_54 = -247.0 + 0.2x; interpolation 
1620 <= x 1650; y_55 = 509.1 + -0.2667x; interpolation 
1650 <= x 1680; y_56 = 14.100000000000001 + 0.0333x; interpolation 
1680 <= x 1710; y_57 = 14.100000000000001 + 0.0333x; interpolation 
1710 <= x 1740; y_58 = 71.0 + 0.0x; interpolation 
1740 <= x 1770; y_59 = 71.0 + 0.0x; interpolation 
1770 <= x 1800; y_60 = 189.1 + -0.0667x; interpolation 
1800 <= x 1830; y_61 = -1070.9 + 0.6333x; interpolation 
1830 <= x 1860; y_62 = 1125.1 + -0.5667x; interpolation 
1860 <= x 1890; y_63 = 71.0 + 0.0x; interpolation 
1890 <= x 1920; y_64 = -1125.9 + 0.6333x; interpolation 
1920 <= x 1950; y_65 = 1305.9 + -0.6333x; interpolation 
1950 <= x 1980; y_66 = -968.9000000000001 + 0.5333x; interpolation 
1980 <= x 2010; y_67 = 152.9 + -0.0333x; interpolation 
2010 <= x 2040; y_68 = 19.099999999999994 + 0.0333x; interpolation 
2040 <= x 2070; y_69 = 1174.9 + -0.5333x; interpolation 
2070 <= x 2100; y_70 = 278.0 + -0.1x; interpolation 
2100 <= x 2130; y_71 = -142.0 + 0.1x; interpolation 
2130 <= x 2160; y_72 = 213.1 + -0.0667x; interpolation 
2160 <= x 2190; y_73 = 69.0 + 0.0x; interpolation 
2190 <= x 2220; y_74 = -1172.1 + 0.5667x; interpolation 
2220 <= x 2250; y_75 = 12.099999999999994 + 0.0333x; interpolation 
2250 <= x 2280; y_76 = 1662.0 + -0.7x; interpolation 
2280 <= x 2310; y_77 = -86.1 + 0.0667x; interpolation 
2310 <= x 2340; y_78 = 144.9 + -0.0333x; interpolation 
2340 <= x 2370; y_79 = -557.1 + 0.2667x; interpolation 
2370 <= x 2400; y_80 = -951.9000000000001 + 0.4333x; interpolation 
2400 <= x 2430; y_81 = 1367.9 + -0.5333x; interpolation 
2430 <= x 2460; y_82 = -1143.0 + 0.5x; interpolation 
2460 <= x 2490; y_83 = 414.9 + -0.1333x; interpolation 
2490 <= x 2520; y_84 = -248.89999999999998 + 0.1333x; interpolation 
2520 <= x 2550; y_85 = 422.9 + -0.1333x; interpolation 
2550 <= x 2580; y_86 = -427.0 + 0.2x; interpolation 
2580 <= x 2610; y_87 = 1551.1 + -0.5667x; interpolation 
2610 <= x 2640; y_88 = -1058.9 + 0.4333x; interpolation 
2640 <= x 2670; y_89 = 525.1 + -0.1667x; interpolation 
2670 <= x 2700; y_90 = -542.9 + 0.2333x; interpolation 
2700 <= x 2730; y_91 = 627.0 + -0.2x; interpolation 
2730 <= x 2760; y_92 = 1173.0 + -0.4x; interpolation 
2760 <= x 2790; y_93 = -1587.0 + 0.6x; interpolation 
2790 <= x 2820; y_94 = 1853.9 + -0.6333x; interpolation 
2820 <= x 2850; y_95 = -1248.1 + 0.4667x; interpolation 
2850 <= x 2880; y_96 = 1412.1 + -0.4667x; interpolation 
2880 <= x 2910; y_97 = -220.0 + 0.1x; interpolation 
2910 <= x 2940; y_98 = 265.1 + -0.0667x; interpolation 
2940 <= x 2970; y_99 = -127.1 + 0.0667x; interpolation 
2970 <= x 3000; y_100 = -1612.1 + 0.5667x; interpolation 
3000 <= x 3030; y_101 = 1888.0 + -0.6x; interpolation 
3030 <= x 3060; y_102 = -1041.1 + 0.3667x; interpolation 
3060 <= x 3090; y_103 = 897.1 + -0.2667x; interpolation 
3090 <= x 3120; y_104 = -1369.1 + 0.4667x; interpolation 
3120 <= x 3150; y_105 = 399.0 + -0.1x; interpolation 
3150 <= x 3180; y_106 = 1554.1 + -0.4667x; interpolation 
3180 <= x 3210; y_107 = -35.900000000000006 + 0.0333x; interpolation 
3210 <= x 3240; y_108 = 606.1 + -0.1667x; interpolation 
3240 <= x 3270; y_109 = -474.1 + 0.1667x; interpolation 
3270 <= x 3300; y_110 = -1564.0 + 0.5x; interpolation 
3300 <= x 3330; y_111 = 86.0 + 0.0x; interpolation 
3330 <= x 3360; y_112 = 1861.9 + -0.5333x; interpolation 
3360 <= x 3390; y_113 = -1498.1 + 0.4667x; interpolation 
3390 <= x 3420; y_114 = -367.9 + 0.1333x; interpolation 
3420 <= x 3450; y_115 = 658.1 + -0.1667x; interpolation 
3450 <= x 3480; y_116 = 1463.0 + -0.4x; interpolation 
3480 <= x 3510; y_117 = -44.900000000000006 + 0.0333x; interpolation 
3510 <= x 3540; y_118 = 423.0 + -0.1x; interpolation 
3540 <= x 3570; y_119 = -167.1 + 0.0667x; interpolation 
3570 <= x 3600; y_120 = 309.1 + -0.0667x; interpolation 
