0 <= x 30; y_1 = 58.0 + 0.6333x; interpolation 
30 <= x 60; y_2 = 94.0 + -0.5667x; interpolation 
60 <= x 90; y_3 = 22.0 + 0.6333x; interpolation 
90 <= x 120; y_4 = 121.0 + -0.4667x; interpolation 
120 <= x 150; y_5 = 17.0 + 0.4x; interpolation 
150 <= x 180; y_6 = 97.0 + -0.1333x; interpolation 
180 <= x 210; y_7 = 37.0 + 0.2x; interpolation 
210 <= x 240; y_8 = 121.0 + -0.2x; interpolation 
240 <= x 270; y_9 = 25.0 + 0.2x; interpolation 
270 <= x 300; y_10 = 124.0 + -0.1667x; interpolation 
300 <= x 330; y_11 = 174.0 + -0.3333x; interpolation 
330 <= x 360; y_12 = -90.0 + 0.4667x; interpolation 
360 <= x 390; y_13 = 270.0 + -0.5333x; interpolation 
390 <= x 420; y_14 = 49.0 + 0.0333x; interpolation 
420 <= x 450; y_15 = -105.0 + 0.4x; interpolation 
450 <= x 480; y_16 = -15.0 + 0.2x; interpolation 
480 <= x 510; y_17 = 353.0 + -0.5667x; interpolation 
510 <= x 540; y_18 = 98.0 + -0.0667x; interpolation 
540 <= x 570; y_19 = -280.0 + 0.6333x; interpolation 
570 <= x 600; y_20 = 518.0 + -0.7667x; interpolation 
600 <= x 630; y_21 = -62.0 + 0.2x; interpolation 
630 <= x 660; y_22 = 106.0 + -0.0667x; interpolation 
660 <= x 690; y_23 = -356.0 + 0.6333x; interpolation 
690 <= x 720; y_24 = 81.0 + 0.0x; interpolation 
720 <= x 750; y_25 = 489.0 + -0.5667x; interpolation 
750 <= x 780; y_26 = -361.0 + 0.5667x; interpolation 
780 <= x 810; y_27 = 107.0 + -0.0333x; interpolation 
810 <= x 840; y_28 = 134.0 + -0.0667x; interpolation 
840 <= x 870; y_29 = -6.0 + 0.1x; interpolation 
870 <= x 900; y_30 = 81.0 + 0.0x; interpolation 
900 <= x 930; y_31 = 51.0 + 0.0333x; interpolation 
930 <= x 960; y_32 = 51.0 + 0.0333x; interpolation 
960 <= x 990; y_33 = 147.0 + -0.0667x; interpolation 
990 <= x 1020; y_34 = 114.0 + -0.0333x; interpolation 
1020 <= x 1050; y_35 = 658.0 + -0.5667x; interpolation 
1050 <= x 1080; y_36 = 98.0 + -0.0333x; interpolation 
1080 <= x 1110; y_37 = -514.0 + 0.5333x; interpolation 
1110 <= x 1140; y_38 = 4.0 + 0.0667x; interpolation 
1140 <= x 1170; y_39 = 194.0 + -0.1x; interpolation 
1170 <= x 1200; y_40 = -79.0 + 0.1333x; interpolation 
1200 <= x 1230; y_41 = 161.0 + -0.0667x; interpolation 
1230 <= x 1260; y_42 = 38.0 + 0.0333x; interpolation 
1260 <= x 1290; y_43 = 80.0 + 0.0x; interpolation 
1290 <= x 1320; y_44 = 123.0 + -0.0333x; interpolation 
1320 <= x 1350; y_45 = 739.0 + -0.5x; interpolation 
1350 <= x 1380; y_46 = 154.0 + -0.0667x; interpolation 
1380 <= x 1410; y_47 = -30.0 + 0.0667x; interpolation 
1410 <= x 1440; y_48 = -453.0 + 0.3667x; interpolation 
1440 <= x 1470; y_49 = -165.0 + 0.1667x; interpolation 
1470 <= x 1500; y_50 = -18.0 + 0.0667x; interpolation 
1500 <= x 1530; y_51 = 1482.0 + -0.9333x; interpolation 
1530 <= x 1560; y_52 = -354.1 + 0.2667x; interpolation 
1560 <= x 1590; y_53 = -769.9 + 0.5333x; interpolation 
1590 <= x 1620; y_54 = -81.0 + 0.1x; interpolation 
1620 <= x 1650; y_55 = 81.0 + 0.0x; interpolation 
1650 <= x 1680; y_56 = 1125.9 + -0.6333x; interpolation 
1680 <= x 1710; y_57 = -890.1 + 0.5667x; interpolation 
1710 <= x 1740; y_58 = 1048.1 + -0.5667x; interpolation 
1740 <= x 1770; y_59 = 4.100000000000001 + 0.0333x; interpolation 
1770 <= x 1800; y_60 = 121.9 + -0.0333x; interpolation 
1800 <= x 1830; y_61 = -897.9 + 0.5333x; interpolation 
1830 <= x 1860; y_62 = 1115.1 + -0.5667x; interpolation 
1860 <= x 1890; y_63 = -125.0 + 0.1x; interpolation 
1890 <= x 1920; y_64 = -1070.0 + 0.6x; interpolation 
1920 <= x 1950; y_65 = 1234.0 + -0.6x; interpolation 
1950 <= x 1980; y_66 = 194.1 + -0.0667x; interpolation 
1980 <= x 2010; y_67 = -70.1 + 0.0667x; interpolation 
2010 <= x 2040; y_68 = 198.1 + -0.0667x; interpolation 
2040 <= x 2070; y_69 = -74.1 + 0.0667x; interpolation 
2070 <= x 2100; y_70 = -971.0 + 0.5x; interpolation 
2100 <= x 2130; y_71 = 358.9 + -0.1333x; interpolation 
2130 <= x 2160; y_72 = 3553.9 + -1.6333x; interpolation 
2160 <= x 2190; y_73 = 242.0 + -0.1x; interpolation 
2190 <= x 2220; y_74 = -4065.1 + 1.8667x; interpolation 
2220 <= x 2250; y_75 = 1189.0 + -0.5x; interpolation 
2250 <= x 2280; y_76 = -1061.0 + 0.5x; interpolation 
2280 <= x 2310; y_77 = 1219.0 + -0.5x; interpolation 
2310 <= x 2340; y_78 = -1091.0 + 0.5x; interpolation 
2340 <= x 2370; y_79 = -77.1 + 0.0667x; interpolation 
2370 <= x 2400; y_80 = 1581.9 + -0.6333x; interpolation 
2400 <= x 2430; y_81 = -1457.9 + 0.6333x; interpolation 
2430 <= x 2460; y_82 = 243.1 + -0.0667x; interpolation 
2460 <= x 2490; y_83 = 1309.0 + -0.5x; interpolation 
2490 <= x 2520; y_84 = 146.9 + -0.0333x; interpolation 
2520 <= x 2550; y_85 = -105.1 + 0.0667x; interpolation 
2550 <= x 2580; y_86 = -1294.9 + 0.5333x; interpolation 
2580 <= x 2610; y_87 = 253.1 + -0.0667x; interpolation 
2610 <= x 2640; y_88 = 1470.9 + -0.5333x; interpolation 
2640 <= x 2670; y_89 = -24.900000000000006 + 0.0333x; interpolation 
2670 <= x 2700; y_90 = -1182.1 + 0.4667x; interpolation 
2700 <= x 2730; y_91 = 258.1 + -0.0667x; interpolation 
2730 <= x 2760; y_92 = -287.9 + 0.1333x; interpolation 
2760 <= x 2790; y_93 = 540.1 + -0.1667x; interpolation 
2790 <= x 2820; y_94 = 1283.9 + -0.4333x; interpolation 
2820 <= x 2850; y_95 = -31.900000000000006 + 0.0333x; interpolation 
2850 <= x 2880; y_96 = -1647.0 + 0.6x; interpolation 
2880 <= x 2910; y_97 = 1616.9 + -0.5333x; interpolation 
2910 <= x 2940; y_98 = -1486.9 + 0.5333x; interpolation 
2940 <= x 2970; y_99 = 766.9 + -0.2333x; interpolation 
2970 <= x 3000; y_100 = 668.0 + -0.2x; interpolation 
3000 <= x 3030; y_101 = -1032.1 + 0.3667x; interpolation 
3030 <= x 3060; y_102 = 79.0 + 0.0x; interpolation 
3060 <= x 3090; y_103 = 79.0 + 0.0x; interpolation 
3090 <= x 3120; y_104 = -127.1 + 0.0667x; interpolation 
3120 <= x 3150; y_105 = 81.0 + 0.0x; interpolation 
3150 <= x 3180; y_106 = 1971.0 + -0.6x; interpolation 
3180 <= x 3210; y_107 = -1421.1 + 0.4667x; interpolation 
3210 <= x 3240; y_108 = 1575.1 + -0.4667x; interpolation 
3240 <= x 3270; y_109 = -44.900000000000006 + 0.0333x; interpolation 
3270 <= x 3300; y_110 = -1571.0 + 0.5x; interpolation 
3300 <= x 3330; y_111 = 299.1 + -0.0667x; interpolation 
3330 <= x 3360; y_112 = -589.0 + 0.2x; interpolation 
3360 <= x 3390; y_113 = 530.9 + -0.1333x; interpolation 
3390 <= x 3420; y_114 = -147.1 + 0.0667x; interpolation 
3420 <= x 3450; y_115 = -32.900000000000006 + 0.0333x; interpolation 
3450 <= x 3480; y_116 = 312.1 + -0.0667x; interpolation 
3480 <= x 3510; y_117 = 1820.0 + -0.5x; interpolation 
3510 <= x 3540; y_118 = -1573.1 + 0.4667x; interpolation 
3540 <= x 3570; y_119 = 315.1 + -0.0667x; interpolation 
3570 <= x 3600; y_120 = -280.0 + 0.1x; interpolation 
3600 <= x 3630; y_121 = 320.1 + -0.0667x; interpolation 
3630 <= x 3660; y_122 = -527.1 + 0.1667x; interpolation 
3660 <= x 3690; y_123 = 693.1 + -0.1667x; interpolation 
3690 <= x 3720; y_124 = -413.9 + 0.1333x; interpolation 
3720 <= x 3750; y_125 = 702.1 + -0.1667x; interpolation 
3750 <= x 3780; y_126 = 1827.1 + -0.4667x; interpolation 
3780 <= x 3810; y_127 = -2330.9 + 0.6333x; interpolation 
3810 <= x 3840; y_128 = 208.9 + -0.0333x; interpolation 
3840 <= x 3870; y_129 = 976.9 + -0.2333x; interpolation 
3870 <= x 3900; y_130 = 1493.1 + -0.3667x; interpolation 
3900 <= x 3930; y_131 = -197.10000000000002 + 0.0667x; interpolation 
3930 <= x 3960; y_132 = -1769.1 + 0.4667x; interpolation 
3960 <= x 3990; y_133 = 210.9 + -0.0333x; interpolation 
3990 <= x 4020; y_134 = 2073.0 + -0.5x; interpolation 
4020 <= x 4050; y_135 = -205.10000000000002 + 0.0667x; interpolation 
4050 <= x 4080; y_136 = -1825.1 + 0.4667x; interpolation 
4080 <= x 4110; y_137 = 1167.1 + -0.2667x; interpolation 
4110 <= x 4140; y_138 = 1304.0 + -0.3x; interpolation 
4140 <= x 4170; y_139 = -2559.9 + 0.6333x; interpolation 
4170 <= x 4200; y_140 = 81.0 + 0.0x; interpolation 
4200 <= x 4230; y_141 = 3580.9 + -0.8333x; interpolation 
4230 <= x 4260; y_142 = -3468.9 + 0.8333x; interpolation 
4260 <= x 4290; y_143 = 222.9 + -0.0333x; interpolation 
4290 <= x 4320; y_144 = 2654.0 + -0.6x; interpolation 
4320 <= x 4350; y_145 = -226.10000000000002 + 0.0667x; interpolation 
4350 <= x 4380; y_146 = -2111.0 + 0.5x; interpolation 
4380 <= x 4410; y_147 = 2852.9 + -0.6333x; interpolation 
4410 <= x 4440; y_148 = 5352.0 + -1.2x; interpolation 
4440 <= x 4470; y_149 = -6044.1 + 1.3667x; interpolation 
4470 <= x 4500; y_150 = 512.0 + -0.1x; interpolation 
4500 <= x 4530; y_151 = -2038.1999999999998 + 0.4667x; interpolation 
4530 <= x 4560; y_152 = -377.0 + 0.1x; interpolation 
4560 <= x 4590; y_153 = 686.8 + -0.1333x; interpolation 
4590 <= x 4620; y_154 = -536.8 + 0.1333x; interpolation 
4620 <= x 4650; y_155 = 541.0 + -0.1x; interpolation 
4650 <= x 4680; y_156 = -389.0 + 0.1x; interpolation 
4680 <= x 4710; y_157 = 391.2 + -0.0667x; interpolation 
4710 <= x 4740; y_158 = -237.2 + 0.0667x; interpolation 
4740 <= x 4770; y_159 = 79.0 + 0.0x; interpolation 
4770 <= x 4800; y_160 = 2622.8 + -0.5333x; interpolation 
4800 <= x 4830; y_161 = -2817.0 + 0.6x; interpolation 
4830 <= x 4860; y_162 = 3139.8 + -0.6333x; interpolation 
4860 <= x 4890; y_163 = -2854.0 + 0.6x; interpolation 
4890 <= x 4920; y_164 = 2687.8 + -0.5333x; interpolation 
4920 <= x 4950; y_165 = -2559.8 + 0.5333x; interpolation 
4950 <= x 4980; y_166 = 2719.8 + -0.5333x; interpolation 
4980 <= x 5010; y_167 = -268.2 + 0.0667x; interpolation 
5010 <= x 5040; y_168 = -1938.0 + 0.4x; interpolation 
5040 <= x 5070; y_169 = 2261.8 + -0.4333x; interpolation 
5070 <= x 5100; y_170 = -2470.0 + 0.5x; interpolation 
5100 <= x 5130; y_171 = 930.2 + -0.1667x; interpolation 
5130 <= x 5160; y_172 = 2127.0 + -0.4x; interpolation 
5160 <= x 5190; y_173 = -2688.8 + 0.5333x; interpolation 
5190 <= x 5220; y_174 = 3020.2 + -0.5667x; interpolation 
5220 <= x 5250; y_175 = -3070.0 + 0.6x; interpolation 
5250 <= x 5280; y_176 = 3055.2 + -0.5667x; interpolation 
5280 <= x 5310; y_177 = -817.2 + 0.1667x; interpolation 
5310 <= x 5340; y_178 = -1701.8 + 0.3333x; interpolation 
5340 <= x 5370; y_179 = 1680.0 + -0.3x; interpolation 
5370 <= x 5400; y_180 = -1720.8 + 0.3333x; interpolation 
5400 <= x 5430; y_181 = 1878.8 + -0.3333x; interpolation 
5430 <= x 5460; y_182 = -1740.8 + 0.3333x; interpolation 
5460 <= x 5490; y_183 = 1352.8 + -0.2333x; interpolation 
5490 <= x 5520; y_184 = 1719.0 + -0.3x; interpolation 
5520 <= x 5550; y_185 = -3065.2 + 0.5667x; interpolation 
5550 <= x 5580; y_186 = 3225.2 + -0.5667x; interpolation 
5580 <= x 5610; y_187 = -3285.0 + 0.6x; interpolation 
5610 <= x 5640; y_188 = 4008.0 + -0.7x; interpolation 
5640 <= x 5670; y_189 = -3511.8 + 0.6333x; interpolation 
5670 <= x 5700; y_190 = 79.0 + 0.0x; interpolation 
5700 <= x 5730; y_191 = 3309.2 + -0.5667x; interpolation 
5730 <= x 5760; y_192 = -3566.8 + 0.6333x; interpolation 
5760 <= x 5790; y_193 = 3728.8 + -0.6333x; interpolation 
5790 <= x 5820; y_194 = -3604.8 + 0.6333x; interpolation 
5820 <= x 5850; y_195 = 3766.8 + -0.6333x; interpolation 
5850 <= x 5880; y_196 = -3448.0 + 0.6x; interpolation 
5880 <= x 5910; y_197 = 4000.2 + -0.6667x; interpolation 
5910 <= x 5940; y_198 = -4077.0 + 0.7x; interpolation 
5940 <= x 5970; y_199 = -315.2 + 0.0667x; interpolation 
5970 <= x 6000; y_200 = 1277.0 + -0.2x; interpolation 
6000 <= x 6030; y_201 = 3077.0 + -0.5x; interpolation 
6030 <= x 6060; y_202 = -3958.2 + 0.6667x; interpolation 
6060 <= x 6090; y_203 = 4122.2 + -0.6667x; interpolation 
6090 <= x 6120; y_204 = -3794.8 + 0.6333x; interpolation 
6120 <= x 6150; y_205 = 693.0 + -0.1x; interpolation 
6150 <= x 6180; y_206 = 282.8 + -0.0333x; interpolation 
6180 <= x 6210; y_207 = -746.8 + 0.1333x; interpolation 
6210 <= x 6240; y_208 = 4013.8 + -0.6333x; interpolation 
6240 <= x 6270; y_209 = -3682.0 + 0.6x; interpolation 
6270 <= x 6300; y_210 = 3633.2 + -0.5667x; interpolation 
6300 <= x 6330; y_211 = -3296.8 + 0.5333x; interpolation 
6330 <= x 6360; y_212 = 3454.8 + -0.5333x; interpolation 
6360 <= x 6390; y_213 = -3541.2 + 0.5667x; interpolation 
6390 <= x 6420; y_214 = -132.8 + 0.0333x; interpolation 
6420 <= x 6450; y_215 = 509.2 + -0.0667x; interpolation 
6450 <= x 6480; y_216 = -351.2 + 0.0667x; interpolation 
6480 <= x 6510; y_217 = 4184.8 + -0.6333x; interpolation 
6510 <= x 6540; y_218 = -3627.2 + 0.5667x; interpolation 
6540 <= x 6570; y_219 = 3785.2 + -0.5667x; interpolation 
6570 <= x 6600; y_220 = -3880.0 + 0.6x; interpolation 
6600 <= x 6630; y_221 = 4480.2 + -0.6667x; interpolation 
6630 <= x 6660; y_222 = -823.8 + 0.1333x; interpolation 
6660 <= x 6690; y_223 = -3710.2 + 0.5667x; interpolation 
6690 <= x 6720; y_224 = 750.0 + -0.1x; interpolation 
6720 <= x 6750; y_225 = 3661.8 + -0.5333x; interpolation 
6750 <= x 6780; y_226 = 512.2 + -0.0667x; interpolation 
6780 <= x 6810; y_227 = 7065.8 + -1.0333x; interpolation 
6810 <= x 6840; y_228 = 255.8 + -0.0333x; interpolation 
6840 <= x 6870; y_229 = -10916.0 + 1.6x; interpolation 
6870 <= x 6900; y_230 = -152.8 + 0.0333x; interpolation 
6900 <= x 6930; y_231 = 77.0 + 0.0x; interpolation 
6930 <= x 6960; y_232 = 539.2 + -0.0667x; interpolation 
6960 <= x 6990; y_233 = -389.2 + 0.0667x; interpolation 
6990 <= x 7020; y_234 = 309.8 + -0.0333x; interpolation 
7020 <= x 7050; y_235 = 1480.0 + -0.2x; interpolation 
7050 <= x 7080; y_236 = -2045.0 + 0.3x; interpolation 
7080 <= x 7110; y_237 = 551.2 + -0.0667x; interpolation 
7110 <= x 7140; y_238 = 3395.2 + -0.4667x; interpolation 
7140 <= x 7170; y_239 = -3983.2 + 0.5667x; interpolation 
7170 <= x 7200; y_240 = 1035.8 + -0.1333x; interpolation 
7200 <= x 7230; y_241 = -1364.0 + 0.2x; interpolation 
7230 <= x 7260; y_242 = 1768.8 + -0.2333x; interpolation 
7260 <= x 7290; y_243 = 3220.8 + -0.4333x; interpolation 
7290 <= x 7320; y_244 = -4312.0 + 0.6x; interpolation 
7320 <= x 7350; y_245 = 4472.0 + -0.6x; interpolation 
7350 <= x 7380; y_246 = -182.8 + 0.0333x; interpolation 
7380 <= x 7410; y_247 = -4365.0 + 0.6x; interpolation 
7410 <= x 7440; y_248 = 4527.0 + -0.6x; interpolation 
7440 <= x 7470; y_249 = -4648.8 + 0.6333x; interpolation 
7470 <= x 7500; y_250 = 829.0 + -0.1x; interpolation 
7500 <= x 7530; y_251 = -170.8 + 0.0333x; interpolation 
7530 <= x 7560; y_252 = 1335.3 + -0.1667x; interpolation 
7560 <= x 7590; y_253 = 3350.7 + -0.4333x; interpolation 
7590 <= x 7620; y_254 = -190.7 + 0.0333x; interpolation 
7620 <= x 7650; y_255 = -3747.0 + 0.5x; interpolation 
7650 <= x 7680; y_256 = 78.0 + 0.0x; interpolation 
7680 <= x 7710; y_257 = -434.29999999999995 + 0.0667x; interpolation 
7710 <= x 7740; y_258 = 594.3 + -0.0667x; interpolation 
7740 <= x 7770; y_259 = 4205.7 + -0.5333x; interpolation 
7770 <= x 7800; y_260 = -456.29999999999995 + 0.0667x; interpolation 
7800 <= x 7830; y_261 = -4356.3 + 0.5667x; interpolation 
7830 <= x 7860; y_262 = 4518.3 + -0.5667x; interpolation 
7860 <= x 7890; y_263 = -4913.7 + 0.6333x; interpolation 
7890 <= x 7920; y_264 = 1398.3 + -0.1667x; interpolation 
7920 <= x 7950; y_265 = -450.29999999999995 + 0.0667x; interpolation 
7950 <= x 7980; y_266 = 344.7 + -0.0333x; interpolation 
7980 <= x 8010; y_267 = 4601.3 + -0.5667x; interpolation 
8010 <= x 8040; y_268 = -4744.0 + 0.6x; interpolation 
8040 <= x 8070; y_269 = 4904.0 + -0.6x; interpolation 
8070 <= x 8100; y_270 = -4511.3 + 0.5667x; interpolation 
8100 <= x 8130; y_271 = 4129.0 + -0.5x; interpolation 
8130 <= x 8160; y_272 = 64.0 + 0.0x; interpolation 
8160 <= x 8190; y_273 = 335.7 + -0.0333x; interpolation 
8190 <= x 8220; y_274 = -3213.0 + 0.4x; interpolation 
8220 <= x 8250; y_275 = -1569.0 + 0.2x; interpolation 
8250 <= x 8280; y_276 = 4756.3 + -0.5667x; interpolation 
8280 <= x 8310; y_277 = -4351.7 + 0.5333x; interpolation 
8310 <= x 8340; y_278 = 4511.7 + -0.5333x; interpolation 
8340 <= x 8370; y_279 = -4383.7 + 0.5333x; interpolation 
8370 <= x 8400; y_280 = 358.7 + -0.0333x; interpolation 
8400 <= x 8430; y_281 = 4839.3 + -0.5667x; interpolation 
8430 <= x 8460; y_282 = -5276.7 + 0.6333x; interpolation 
8460 <= x 8490; y_283 = 2054.7 + -0.2333x; interpolation 
8490 <= x 8520; y_284 = -208.7 + 0.0333x; interpolation 
8520 <= x 8550; y_285 = 3483.0 + -0.4x; interpolation 
8550 <= x 8580; y_286 = -5067.0 + 0.6x; interpolation 
8580 <= x 8610; y_287 = 5514.7 + -0.6333x; interpolation 
8610 <= x 8640; y_288 = -5390.7 + 0.6333x; interpolation 
8640 <= x 8670; y_289 = 4401.0 + -0.5x; interpolation 
8670 <= x 8700; y_290 = -4847.3 + 0.5667x; interpolation 
8700 <= x 8730; y_291 = 6173.0 + -0.7x; interpolation 
8730 <= x 8760; y_292 = -5466.7 + 0.6333x; interpolation 
8760 <= x 8790; y_293 = 6213.0 + -0.7x; interpolation 
8790 <= x 8820; y_294 = -1111.7 + 0.1333x; interpolation 
8820 <= x 8850; y_295 = -4346.0 + 0.5x; interpolation 
8850 <= x 8880; y_296 = -511.29999999999995 + 0.0667x; interpolation 
8880 <= x 8910; y_297 = 81.0 + 0.0x; interpolation 
8910 <= x 8940; y_298 = 377.7 + -0.0333x; interpolation 
8940 <= x 8970; y_299 = 377.7 + -0.0333x; interpolation 
8970 <= x 9000; y_300 = 4564.0 + -0.5x; interpolation 
9000 <= x 9030; y_301 = -235.7 + 0.0333x; interpolation 
9030 <= x 9060; y_302 = -3847.7 + 0.4333x; interpolation 
9060 <= x 9090; y_303 = 3702.0 + -0.4x; interpolation 
9090 <= x 9120; y_304 = -3267.3 + 0.3667x; interpolation 
9120 <= x 9150; y_305 = 3421.3 + -0.3667x; interpolation 
9150 <= x 9180; y_306 = 2200.7 + -0.2333x; interpolation 
9180 <= x 9210; y_307 = 7708.7 + -0.8333x; interpolation 
9210 <= x 9240; y_308 = 2182.7 + -0.2333x; interpolation 
9240 <= x 9270; y_309 = -11677.3 + 1.2667x; interpolation 
9270 <= x 9300; y_310 = -4261.3 + 0.4667x; interpolation 
9300 <= x 9330; y_311 = 4108.7 + -0.4333x; interpolation 
9330 <= x 9360; y_312 = -3355.3 + 0.3667x; interpolation 
9360 <= x 9390; y_313 = 3509.3 + -0.3667x; interpolation 
9390 <= x 9420; y_314 = -4316.3 + 0.4667x; interpolation 
9420 <= x 9450; y_315 = 2277.7 + -0.2333x; interpolation 
9450 <= x 9480; y_316 = -2131.7 + 0.2333x; interpolation 
9480 <= x 9510; y_317 = 1660.3 + -0.1667x; interpolation 
9510 <= x 9540; y_318 = 4195.7 + -0.4333x; interpolation 
9540 <= x 9570; y_319 = -1846.0 + 0.2x; interpolation 
9570 <= x 9600; y_320 = -3441.3 + 0.3667x; interpolation 
9600 <= x 9630; y_321 = 1679.3 + -0.1667x; interpolation 
9630 <= x 9660; y_322 = -2494.3 + 0.2667x; interpolation 
9660 <= x 9690; y_323 = 2980.0 + -0.3x; interpolation 
9690 <= x 9720; y_324 = 4271.7 + -0.4333x; interpolation 
9720 <= x 9750; y_325 = -6095.7 + 0.6333x; interpolation 
9750 <= x 9780; y_326 = 5278.7 + -0.5333x; interpolation 
9780 <= x 9810; y_327 = -5479.3 + 0.5667x; interpolation 
9810 <= x 9840; y_328 = 406.7 + -0.0333x; interpolation 
9840 <= x 9870; y_329 = 3687.3 + -0.3667x; interpolation 
9870 <= x 9900; y_330 = -3221.7 + 0.3333x; interpolation 
9900 <= x 9930; y_331 = 1068.0 + -0.1x; interpolation 
9930 <= x 9960; y_332 = -918.0 + 0.1x; interpolation 
9960 <= x 9990; y_333 = -918.0 + 0.1x; interpolation 
9990 <= x 10020; y_334 = 413.7 + -0.0333x; interpolation 
10020 <= x 10050; y_335 = 6425.7 + -0.6333x; interpolation 
10050 <= x 10080; y_336 = -5634.3 + 0.5667x; interpolation 
10080 <= x 10110; y_337 = 5453.7 + -0.5333x; interpolation 
10110 <= x 10140; y_338 = -274.7 + 0.0333x; interpolation 
