0 <= x 30; y_1 = 84.0 + -0.4667x; interpolation 
30 <= x 60; y_2 = 68.0 + 0.0667x; interpolation 
60 <= x 90; y_3 = 40.0 + 0.5333x; interpolation 
90 <= x 120; y_4 = 85.0 + 0.0333x; interpolation 
120 <= x 150; y_5 = 161.0 + -0.6x; interpolation 
150 <= x 180; y_6 = 61.0 + 0.0667x; interpolation 
180 <= x 210; y_7 = -35.0 + 0.6x; interpolation 
210 <= x 240; y_8 = 119.0 + -0.1333x; interpolation 
240 <= x 270; y_9 = 199.0 + -0.4667x; interpolation 
270 <= x 300; y_10 = 82.0 + -0.0333x; interpolation 
300 <= x 330; y_11 = -148.0 + 0.7333x; interpolation 
330 <= x 360; y_12 = 138.0 + -0.1333x; interpolation 
360 <= x 390; y_13 = 282.0 + -0.5333x; interpolation 
390 <= x 420; y_14 = 74.0 + 0.0x; interpolation 
420 <= x 450; y_15 = -178.0 + 0.6x; interpolation 
450 <= x 480; y_16 = 137.0 + -0.1x; interpolation 
480 <= x 510; y_17 = 345.0 + -0.5333x; interpolation 
510 <= x 540; y_18 = 73.0 + 0.0x; interpolation 
540 <= x 570; y_19 = -251.0 + 0.6x; interpolation 
570 <= x 600; y_20 = 186.0 + -0.1667x; interpolation 
600 <= x 630; y_21 = 346.0 + -0.4333x; interpolation 
630 <= x 660; y_22 = 52.0 + 0.0333x; interpolation 
660 <= x 690; y_23 = -344.0 + 0.6333x; interpolation 
690 <= x 720; y_24 = 162.0 + -0.1x; interpolation 
720 <= x 750; y_25 = 546.0 + -0.6333x; interpolation 
750 <= x 780; y_26 = -4.0 + 0.1x; interpolation 
780 <= x 810; y_27 = -316.0 + 0.5x; interpolation 
810 <= x 840; y_28 = 89.0 + 0.0x; interpolation 
840 <= x 870; y_29 = 537.0 + -0.5333x; interpolation 
870 <= x 900; y_30 = 15.0 + 0.0667x; interpolation 
900 <= x 930; y_31 = -495.0 + 0.6333x; interpolation 
930 <= x 960; y_32 = 311.0 + -0.2333x; interpolation 
960 <= x 990; y_33 = 471.0 + -0.4x; interpolation 
990 <= x 1020; y_34 = 9.0 + 0.0667x; interpolation 
1020 <= x 1050; y_35 = -365.0 + 0.4333x; interpolation 
1050 <= x 1080; y_36 = 90.0 + 0.0x; interpolation 
1080 <= x 1110; y_37 = 738.0 + -0.6x; interpolation 
1110 <= x 1140; y_38 = -39.0 + 0.1x; interpolation 
1140 <= x 1170; y_39 = -609.0 + 0.6x; interpolation 
1170 <= x 1200; y_40 = 210.0 + -0.1x; interpolation 
1200 <= x 1230; y_41 = 690.0 + -0.5x; interpolation 
1230 <= x 1260; y_42 = 34.0 + 0.0333x; interpolation 
1260 <= x 1290; y_43 = -470.0 + 0.4333x; interpolation 
1290 <= x 1320; y_44 = 46.0 + 0.0333x; interpolation 
1320 <= x 1350; y_45 = 838.0 + -0.5667x; interpolation 
1350 <= x 1380; y_46 = -107.0 + 0.1333x; interpolation 
1380 <= x 1410; y_47 = -659.0 + 0.5333x; interpolation 
1410 <= x 1440; y_48 = 187.0 + -0.0667x; interpolation 
1440 <= x 1470; y_49 = 859.0 + -0.5333x; interpolation 
1470 <= x 1500; y_50 = -23.0 + 0.0667x; interpolation 
1500 <= x 1530; y_51 = -723.0 + 0.5333x; interpolation 
1530 <= x 1560; y_52 = 296.9 + -0.1333x; interpolation 
1560 <= x 1590; y_53 = 869.0 + -0.5x; interpolation 
1590 <= x 1620; y_54 = -32.099999999999994 + 0.0667x; interpolation 
1620 <= x 1650; y_55 = -680.1 + 0.4667x; interpolation 
1650 <= x 1680; y_56 = 35.1 + 0.0333x; interpolation 
1680 <= x 1710; y_57 = 1043.1 + -0.5667x; interpolation 
1710 <= x 1740; y_58 = -40.099999999999994 + 0.0667x; interpolation 
1740 <= x 1770; y_59 = -503.9 + 0.3333x; interpolation 
1770 <= x 1800; y_60 = -91.0 + 0.1x; interpolation 
1800 <= x 1830; y_61 = 929.1 + -0.4667x; interpolation 
1830 <= x 1860; y_62 = -108.0 + 0.1x; interpolation 
1860 <= x 1890; y_63 = -727.9 + 0.4333x; interpolation 
1890 <= x 1920; y_64 = 91.0 + 0.0x; interpolation 
1920 <= x 1950; y_65 = 1179.1 + -0.5667x; interpolation 
1950 <= x 1980; y_66 = -185.89999999999998 + 0.1333x; interpolation 
1980 <= x 2010; y_67 = -846.1 + 0.4667x; interpolation 
2010 <= x 2040; y_68 = 293.0 + -0.1x; interpolation 
2040 <= x 2070; y_69 = 1109.0 + -0.5x; interpolation 
2070 <= x 2100; y_70 = 74.0 + 0.0x; interpolation 
2100 <= x 2130; y_71 = -1326.1 + 0.6667x; interpolation 
2130 <= x 2160; y_72 = 520.0 + -0.2x; interpolation 
2160 <= x 2190; y_73 = 1168.0 + -0.5x; interpolation 
2190 <= x 2220; y_74 = -218.89999999999998 + 0.1333x; interpolation 
2220 <= x 2250; y_75 = 3.0999999999999943 + 0.0333x; interpolation 
2250 <= x 2280; y_76 = -671.9 + 0.3333x; interpolation 
2280 <= x 2310; y_77 = 924.1 + -0.3667x; interpolation 
2310 <= x 2340; y_78 = -77.1 + 0.0667x; interpolation 
2340 <= x 2370; y_79 = -934.9 + 0.4333x; interpolation 
2370 <= x 2400; y_80 = 250.1 + -0.0667x; interpolation 
2400 <= x 2430; y_81 = 1129.9 + -0.4333x; interpolation 
2430 <= x 2460; y_82 = 157.9 + -0.0333x; interpolation 
2460 <= x 2490; y_83 = -1318.1 + 0.5667x; interpolation 
2490 <= x 2520; y_84 = 424.9 + -0.1333x; interpolation 
2520 <= x 2550; y_85 = 1097.0 + -0.4x; interpolation 
2550 <= x 2580; y_86 = -7.900000000000006 + 0.0333x; interpolation 
2580 <= x 2610; y_87 = -868.1 + 0.3667x; interpolation 
2610 <= x 2640; y_88 = 89.0 + 0.0x; interpolation 
2640 <= x 2670; y_89 = 1232.9 + -0.4333x; interpolation 
2670 <= x 2700; y_90 = -369.1 + 0.1667x; interpolation 
2700 <= x 2730; y_91 = -999.0 + 0.4x; interpolation 
2730 <= x 2760; y_92 = 93.0 + 0.0x; interpolation 
2760 <= x 2790; y_93 = 1657.1 + -0.5667x; interpolation 
2790 <= x 2820; y_94 = -295.9 + 0.1333x; interpolation 
2820 <= x 2850; y_95 = -1236.1 + 0.4667x; interpolation 
2850 <= x 2880; y_96 = 664.0 + -0.2x; interpolation 
2880 <= x 2910; y_97 = 1144.1 + -0.3667x; interpolation 
2910 <= x 2940; y_98 = -310.9 + 0.1333x; interpolation 
2940 <= x 2970; y_99 = -898.9 + 0.3333x; interpolation 
2970 <= x 3000; y_100 = 189.9 + -0.0333x; interpolation 
3000 <= x 3030; y_101 = 1290.0 + -0.4x; interpolation 
3030 <= x 3060; y_102 = -325.9 + 0.1333x; interpolation 
3060 <= x 3090; y_103 = -836.0 + 0.3x; interpolation 
3090 <= x 3120; y_104 = 400.0 + -0.1x; interpolation 
3120 <= x 3150; y_105 = 1232.1 + -0.3667x; interpolation 
3150 <= x 3180; y_106 = -448.1 + 0.1667x; interpolation 
3180 <= x 3210; y_107 = -1190.0 + 0.4x; interpolation 
3210 <= x 3240; y_108 = 1057.0 + -0.3x; interpolation 
3240 <= x 3270; y_109 = 1057.0 + -0.3x; interpolation 
3270 <= x 3300; y_110 = -578.0 + 0.2x; interpolation 
3300 <= x 3330; y_111 = -908.0 + 0.3x; interpolation 
3330 <= x 3360; y_112 = 1866.9 + -0.5333x; interpolation 
