0 <= x 30; y_1 = 71.0 + -0.4333x; interpolation 
30 <= x 60; y_2 = 61.0 + -0.1x; interpolation 
60 <= x 90; y_3 = 13.0 + 0.7x; interpolation 
90 <= x 120; y_4 = 85.0 + -0.1x; interpolation 
120 <= x 150; y_5 = 53.0 + 0.1667x; interpolation 
150 <= x 180; y_6 = 103.0 + -0.1667x; interpolation 
180 <= x 210; y_7 = 91.0 + -0.1x; interpolation 
210 <= x 240; y_8 = 154.0 + -0.4x; interpolation 
240 <= x 270; y_9 = -70.0 + 0.5333x; interpolation 
270 <= x 300; y_10 = 101.0 + -0.1x; interpolation 
300 <= x 330; y_11 = 31.0 + 0.1333x; interpolation 
330 <= x 360; y_12 = 174.0 + -0.3x; interpolation 
360 <= x 390; y_13 = 150.0 + -0.2333x; interpolation 
390 <= x 420; y_14 = 59.0 + 0.0x; interpolation 
420 <= x 450; y_15 = -151.0 + 0.5x; interpolation 
450 <= x 480; y_16 = 194.0 + -0.2667x; interpolation 
480 <= x 510; y_17 = 194.0 + -0.2667x; interpolation 
510 <= x 540; y_18 = 24.0 + 0.0667x; interpolation 
540 <= x 570; y_19 = 114.0 + -0.1x; interpolation 
570 <= x 600; y_20 = 0.0 + 0.1x; interpolation 
600 <= x 630; y_21 = 120.0 + -0.1x; interpolation 
630 <= x 660; y_22 = 36.0 + 0.0333x; interpolation 
660 <= x 690; y_23 = -316.0 + 0.5667x; interpolation 
690 <= x 720; y_24 = 443.0 + -0.5333x; interpolation 
720 <= x 750; y_25 = -349.0 + 0.5667x; interpolation 
750 <= x 780; y_26 = 451.0 + -0.5x; interpolation 
780 <= x 810; y_27 = -277.0 + 0.4333x; interpolation 
810 <= x 840; y_28 = 398.0 + -0.4x; interpolation 
840 <= x 870; y_29 = -274.0 + 0.4x; interpolation 
870 <= x 900; y_30 = 248.0 + -0.2x; interpolation 
900 <= x 930; y_31 = -112.0 + 0.2x; interpolation 
930 <= x 960; y_32 = 167.0 + -0.1x; interpolation 
960 <= x 990; y_33 = 455.0 + -0.4x; interpolation 
990 <= x 1020; y_34 = -271.0 + 0.3333x; interpolation 
1020 <= x 1050; y_35 = 477.0 + -0.4x; interpolation 
1050 <= x 1080; y_36 = -573.0 + 0.6x; interpolation 
1080 <= x 1110; y_37 = 687.0 + -0.5667x; interpolation 
1110 <= x 1140; y_38 = -201.0 + 0.2333x; interpolation 
1140 <= x 1170; y_39 = -49.0 + 0.1x; interpolation 
1170 <= x 1200; y_40 = 263.0 + -0.1667x; interpolation 
1200 <= x 1230; y_41 = 263.0 + -0.1667x; interpolation 
1230 <= x 1260; y_42 = -352.0 + 0.3333x; interpolation 
1260 <= x 1290; y_43 = 404.0 + -0.2667x; interpolation 
1290 <= x 1320; y_44 = -69.0 + 0.1x; interpolation 
1320 <= x 1350; y_45 = -333.0 + 0.3x; interpolation 
1350 <= x 1380; y_46 = -63.0 + 0.1x; interpolation 
1380 <= x 1410; y_47 = 489.0 + -0.3x; interpolation 
1410 <= x 1440; y_48 = -310.0 + 0.2667x; interpolation 
1440 <= x 1470; y_49 = 410.0 + -0.2333x; interpolation 
1470 <= x 1500; y_50 = -374.0 + 0.3x; interpolation 
1500 <= x 1530; y_51 = 976.0 + -0.6x; interpolation 
1530 <= x 1560; y_52 = 58.0 + 0.0x; interpolation 
1560 <= x 1590; y_53 = 58.0 + 0.0x; interpolation 
1590 <= x 1620; y_54 = -843.1 + 0.5667x; interpolation 
1620 <= x 1650; y_55 = 993.1 + -0.5667x; interpolation 
1650 <= x 1680; y_56 = 3.1000000000000014 + 0.0333x; interpolation 
1680 <= x 1710; y_57 = 59.0 + 0.0x; interpolation 
