0 <= x 30; y_1 = 80.0 + -0.5x; interpolation 
2850 <= x 2880; y_96 = 1309.9 + -0.4333x; interpolation 
2880 <= x 2910; y_97 = -226.0 + 0.1x; interpolation 
2910 <= x 2940; y_98 = 65.0 + 0.0x; interpolation 
2940 <= x 2970; y_99 = 65.0 + 0.0x; interpolation 
2970 <= x 3000; y_100 = -1518.9 + 0.5333x; interpolation 
3000 <= x 3030; y_101 = 1680.9 + -0.5333x; interpolation 
3030 <= x 3060; y_102 = -1652.1 + 0.5667x; interpolation 
3060 <= x 3090; y_103 = 1407.9 + -0.4333x; interpolation 
3090 <= x 3120; y_104 = -1373.1 + 0.4667x; interpolation 
3120 <= x 3150; y_105 = 83.0 + 0.0x; interpolation 
3150 <= x 3180; y_106 = 1868.1 + -0.5667x; interpolation 
3180 <= x 3210; y_107 = -39.900000000000006 + 0.0333x; interpolation 
3210 <= x 3240; y_108 = 709.0 + -0.2x; interpolation 
3240 <= x 3270; y_109 = -694.9 + 0.2333x; interpolation 
3270 <= x 3300; y_110 = -1567.0 + 0.5x; interpolation 
3300 <= x 3330; y_111 = 413.0 + -0.1x; interpolation 
3330 <= x 3360; y_112 = 1634.1 + -0.4667x; interpolation 
3360 <= x 3390; y_113 = -1389.9 + 0.4333x; interpolation 
3390 <= x 3420; y_114 = -599.0 + 0.2x; interpolation 
3420 <= x 3450; y_115 = 540.9 + -0.1333x; interpolation 
3450 <= x 3480; y_116 = 1806.0 + -0.5x; interpolation 
3480 <= x 3510; y_117 = 66.0 + 0.0x; interpolation 
3510 <= x 3540; y_118 = 417.0 + -0.1x; interpolation 
3540 <= x 3570; y_119 = -408.9 + 0.1333x; interpolation 
3570 <= x 3600; y_120 = 424.0 + -0.1x; interpolation 
3600 <= x 3630; y_121 = 304.1 + -0.0667x; interpolation 
3630 <= x 3660; y_122 = -2842.0 + 0.8x; interpolation 
3660 <= x 3690; y_123 = 2526.1 + -0.6667x; interpolation 
3690 <= x 3720; y_124 = 188.9 + -0.0333x; interpolation 
3720 <= x 3750; y_125 = -555.1 + 0.1667x; interpolation 
3750 <= x 3780; y_126 = -1305.1 + 0.3667x; interpolation 
3780 <= x 3810; y_127 = 2096.9 + -0.5333x; interpolation 
3810 <= x 3840; y_128 = 319.1 + -0.0667x; interpolation 
3840 <= x 3870; y_129 = -448.9 + 0.1333x; interpolation 
3870 <= x 3900; y_130 = -2126.1 + 0.5667x; interpolation 
3900 <= x 3930; y_131 = 993.9 + -0.2333x; interpolation 
3930 <= x 3960; y_132 = 1779.9 + -0.4333x; interpolation 
3960 <= x 3990; y_133 = -463.9 + 0.1333x; interpolation 
