0 <= x 30; y_1 = 80.0 + -0.5x; interpolation 
12120 <= x 12150; y_405 = 6542.6 + -0.5333x; interpolation 
12150 <= x 12180; y_406 = -1962.4 + 0.1667x; interpolation 
12180 <= x 12210; y_407 = -6834.4 + 0.5667x; interpolation 
12210 <= x 12240; y_408 = 7004.4 + -0.5667x; interpolation 
12240 <= x 12270; y_409 = -6459.6 + 0.5333x; interpolation 
12270 <= x 12300; y_410 = 6627.6 + -0.5333x; interpolation 
12300 <= x 12330; y_411 = -4031.6000000000004 + 0.3333x; interpolation 
12330 <= x 12360; y_412 = 4187.6 + -0.3333x; interpolation 
12360 <= x 12390; y_413 = -6112.0 + 0.5x; interpolation 
12390 <= x 12420; y_414 = 6690.6 + -0.5333x; interpolation 
12420 <= x 12450; y_415 = 1309.0 + -0.1x; interpolation 
12450 <= x 12480; y_416 = -8651.0 + 0.7x; interpolation 
12480 <= x 12510; y_417 = 8405.4 + -0.6667x; interpolation 
12510 <= x 12540; y_418 = -4939.0 + 0.4x; interpolation 
12540 <= x 12570; y_419 = 5929.4 + -0.4667x; interpolation 
12570 <= x 12600; y_420 = -1194.0 + 0.1x; interpolation 
12600 <= x 12630; y_421 = -6234.0 + 0.5x; interpolation 
12630 <= x 12660; y_422 = 1764.6 + -0.1333x; interpolation 
12660 <= x 12690; y_423 = -2455.0 + 0.2x; interpolation 
12690 <= x 12720; y_424 = 3043.6 + -0.2333x; interpolation 
12720 <= x 12750; y_425 = -1196.0 + 0.1x; interpolation 
12750 <= x 12780; y_426 = 6454.0 + -0.5x; interpolation 
12780 <= x 12810; y_427 = -361.6 + 0.0333x; interpolation 
12810 <= x 12840; y_428 = -5913.4 + 0.4667x; interpolation 
12840 <= x 12870; y_429 = -1205.0 + 0.1x; interpolation 
12870 <= x 12900; y_430 = -346.6 + 0.0333x; interpolation 
12900 <= x 12930; y_431 = 3092.6 + -0.2333x; interpolation 
12930 <= x 12960; y_432 = -354.6 + 0.0333x; interpolation 
12960 <= x 12990; y_433 = 5261.0 + -0.4x; interpolation 
12990 <= x 13020; y_434 = -801.4 + 0.0667x; interpolation 
13020 <= x 13050; y_435 = 1369.0 + -0.1x; interpolation 
13050 <= x 13080; y_436 = -1675.6 + 0.1333x; interpolation 
13080 <= x 13110; y_437 = 940.4 + -0.0667x; interpolation 
13110 <= x 13140; y_438 = -808.4 + 0.0667x; interpolation 
13140 <= x 13170; y_439 = -4750.4 + 0.3667x; interpolation 
13170 <= x 13200; y_440 = -2116.4 + 0.1667x; interpolation 
13200 <= x 13230; y_441 = 1843.6 + -0.1333x; interpolation 
13230 <= x 13260; y_442 = 1403.0 + -0.1x; interpolation 
13260 <= x 13290; y_443 = -1249.0 + 0.1x; interpolation 
13290 <= x 13320; y_444 = 5838.6 + -0.4333x; interpolation 
13320 <= x 13350; y_445 = 1842.6 + -0.1333x; interpolation 
13350 <= x 13380; y_446 = -1272.0 + 0.1x; interpolation 
13380 <= x 13410; y_447 = 958.4 + -0.0667x; interpolation 
13410 <= x 13440; y_448 = 958.4 + -0.0667x; interpolation 
13440 <= x 13470; y_449 = -1282.0 + 0.1x; interpolation 
13470 <= x 13500; y_450 = -1730.6 + 0.1333x; interpolation 
13500 <= x 13530; y_451 = -3981.0 + 0.3x; interpolation 
13530 <= x 13560; y_452 = 980.5 + -0.0667x; interpolation 
13560 <= x 13590; y_453 = 5048.5 + -0.3667x; interpolation 
13590 <= x 13620; y_454 = -1294.0 + 0.1x; interpolation 
13620 <= x 13650; y_455 = 2338.5 + -0.1667x; interpolation 
13650 <= x 13680; y_456 = -6307.5 + 0.4667x; interpolation 
13680 <= x 13710; y_457 = 6004.5 + -0.4333x; interpolation 
13710 <= x 13740; y_458 = -850.5 + 0.0667x; interpolation 
13740 <= x 13770; y_459 = -7720.5 + 0.5667x; interpolation 
13770 <= x 13800; y_460 = 2837.0 + -0.2x; interpolation 
13800 <= x 13830; y_461 = 1916.5 + -0.1333x; interpolation 
13830 <= x 13860; y_462 = -3153.5 + 0.2333x; interpolation 
13860 <= x 13890; y_463 = 3776.5 + -0.2667x; interpolation 
13890 <= x 13920; y_464 = -2706.0 + 0.2x; interpolation 
13920 <= x 13950; y_465 = -2242.5 + 0.1667x; interpolation 
13950 <= x 13980; y_466 = 2873.0 + -0.2x; interpolation 
13980 <= x 14010; y_467 = 5669.0 + -0.4x; interpolation 
14010 <= x 14040; y_468 = -869.5 + 0.0667x; interpolation 
14040 <= x 14070; y_469 = 534.5 + -0.0333x; interpolation 
14070 <= x 14100; y_470 = -402.5 + 0.0333x; interpolation 
14100 <= x 14130; y_471 = -5103.5 + 0.3667x; interpolation 
14130 <= x 14160; y_472 = 548.5 + -0.0333x; interpolation 
14160 <= x 14190; y_473 = 1021.5 + -0.0667x; interpolation 
14190 <= x 14220; y_474 = 2913.0 + -0.2x; interpolation 
14220 <= x 14250; y_475 = -7041.0 + 0.5x; interpolation 
14250 <= x 14280; y_476 = 3884.5 + -0.2667x; interpolation 
14280 <= x 14310; y_477 = -2304.5 + 0.1667x; interpolation 
14310 <= x 14340; y_478 = -873.5 + 0.0667x; interpolation 
14340 <= x 14370; y_479 = 83.0 + 0.0x; interpolation 
14370 <= x 14400; y_480 = 4872.5 + -0.3333x; interpolation 
14400 <= x 14430; y_481 = -1846.5 + 0.1333x; interpolation 
14430 <= x 14460; y_482 = -2809.0 + 0.2x; interpolation 
14460 <= x 14490; y_483 = 8759.0 + -0.6x; interpolation 
14490 <= x 14520; y_484 = 65.0 + 0.0x; interpolation 
14520 <= x 14550; y_485 = 548.5 + -0.0333x; interpolation 
14550 <= x 14580; y_486 = -9636.5 + 0.6667x; interpolation 
14580 <= x 14610; y_487 = 2027.5 + -0.1333x; interpolation 
14610 <= x 14640; y_488 = 7871.5 + -0.5333x; interpolation 
14640 <= x 14670; y_489 = -912.5 + 0.0667x; interpolation 
14670 <= x 14700; y_490 = -6290.5 + 0.4333x; interpolation 
14700 <= x 14730; y_491 = -1880.5 + 0.1333x; interpolation 
14730 <= x 14760; y_492 = -407.5 + 0.0333x; interpolation 
14760 <= x 14790; y_493 = 1068.5 + -0.0667x; interpolation 
14790 <= x 14820; y_494 = 9942.5 + -0.6667x; interpolation 
14820 <= x 14850; y_495 = -1420.0 + 0.1x; interpolation 
14850 <= x 14880; y_496 = 1055.5 + -0.0667x; interpolation 
14880 <= x 14910; y_497 = -8865.0 + 0.6x; interpolation 
14910 <= x 14940; y_498 = 81.0 + 0.0x; interpolation 
14940 <= x 14970; y_499 = -915.5 + 0.0667x; interpolation 
14970 <= x 15000; y_500 = 10063.5 + -0.6667x; interpolation 
15000 <= x 15030; y_501 = -6937.5 + 0.4667x; interpolation 
15030 <= x 15060; y_502 = -2929.0 + 0.2x; interpolation 
15060 <= x 15090; y_503 = 10123.5 + -0.6667x; interpolation 
15090 <= x 15120; y_504 = -10500.0 + 0.7x; interpolation 
15120 <= x 15150; y_505 = 12683.5 + -0.8333x; interpolation 
15150 <= x 15180; y_506 = -2466.5 + 0.1667x; interpolation 
15180 <= x 15210; y_507 = 569.5 + -0.0333x; interpolation 
15210 <= x 15240; y_508 = -10077.5 + 0.6667x; interpolation 
15240 <= x 15270; y_509 = 9734.5 + -0.6333x; interpolation 
15270 <= x 15300; y_510 = -3498.5 + 0.2333x; interpolation 
15300 <= x 15330; y_511 = 3640.5 + -0.2333x; interpolation 
15330 <= x 15360; y_512 = -9134.0 + 0.6x; interpolation 
15360 <= x 15390; y_513 = 9298.0 + -0.6x; interpolation 
15390 <= x 15420; y_514 = 576.5 + -0.0333x; interpolation 
15420 <= x 15450; y_515 = -450.5 + 0.0333x; interpolation 
15450 <= x 15480; y_516 = 64.0 + 0.0x; interpolation 
15480 <= x 15510; y_517 = 64.0 + 0.0x; interpolation 
15510 <= x 15540; y_518 = 64.0 + 0.0x; interpolation 
15540 <= x 15570; y_519 = -9777.5 + 0.6333x; interpolation 
15570 <= x 15600; y_520 = 10982.0 + -0.7x; interpolation 
15600 <= x 15630; y_521 = -978.5 + 0.0667x; interpolation 
15630 <= x 15660; y_522 = 1106.5 + -0.0667x; interpolation 
15660 <= x 15690; y_523 = -459.5 + 0.0333x; interpolation 
15690 <= x 15720; y_524 = 63.0 + 0.0x; interpolation 
15720 <= x 15750; y_525 = -10941.0 + 0.7x; interpolation 
15750 <= x 15780; y_526 = 1134.5 + -0.0667x; interpolation 
15780 <= x 15810; y_527 = 11653.5 + -0.7333x; interpolation 
15810 <= x 15840; y_528 = 1114.5 + -0.0667x; interpolation 
15840 <= x 15870; y_529 = -4166.5 + 0.2667x; interpolation 
15870 <= x 15900; y_530 = -6810.5 + 0.4333x; interpolation 
15900 <= x 15930; y_531 = 1669.0 + -0.1x; interpolation 
15930 <= x 15960; y_532 = 6448.0 + -0.4x; interpolation 
15960 <= x 15990; y_533 = -467.5 + 0.0333x; interpolation 
15990 <= x 16020; y_534 = -9529.0 + 0.6x; interpolation 
16020 <= x 16050; y_535 = 3820.5 + -0.2333x; interpolation 
16050 <= x 16080; y_536 = 6496.0 + -0.4x; interpolation 
16080 <= x 16110; y_537 = -10119.5 + 0.6333x; interpolation 
16110 <= x 16140; y_538 = 10285.5 + -0.6333x; interpolation 
16140 <= x 16170; y_539 = 64.0 + 0.0x; interpolation 
16170 <= x 16200; y_540 = 602.5 + -0.0333x; interpolation 
16200 <= x 16230; y_541 = -5877.5 + 0.3667x; interpolation 
16230 <= x 16260; y_542 = 6025.5 + -0.3667x; interpolation 
16260 <= x 16290; y_543 = -1021.5 + 0.0667x; interpolation 
16290 <= x 16320; y_544 = -9709.0 + 0.6x; interpolation 
16320 <= x 16350; y_545 = 2258.5 + -0.1333x; interpolation 
16350 <= x 16380; y_546 = -2646.5 + 0.1667x; interpolation 
16380 <= x 16410; y_547 = 9912.0 + -0.6x; interpolation 
16410 <= x 16440; y_548 = 1707.0 + -0.1x; interpolation 
16440 <= x 16470; y_549 = -8704.5 + 0.5333x; interpolation 
16470 <= x 16500; y_550 = 7765.5 + -0.4667x; interpolation 
16500 <= x 16530; y_551 = 65.0 + 0.0x; interpolation 
16530 <= x 16560; y_552 = 1167.6 + -0.0667x; interpolation 
16560 <= x 16590; y_553 = -1593.0 + 0.1x; interpolation 
16590 <= x 16620; y_554 = 1725.0 + -0.1x; interpolation 
16620 <= x 16650; y_555 = -8800.4 + 0.5333x; interpolation 
16650 <= x 16680; y_556 = 8404.0 + -0.5x; interpolation 
16680 <= x 16710; y_557 = -491.4 + 0.0333x; interpolation 
16710 <= x 16740; y_558 = 1179.6 + -0.0667x; interpolation 
16740 <= x 16770; y_559 = -494.4 + 0.0333x; interpolation 
16770 <= x 16800; y_560 = 64.0 + 0.0x; interpolation 
16800 <= x 16830; y_561 = 64.0 + 0.0x; interpolation 
16830 <= x 16860; y_562 = -8911.4 + 0.5333x; interpolation 
16860 <= x 16890; y_563 = 7385.4 + -0.4333x; interpolation 
16890 <= x 16920; y_564 = -8940.4 + 0.5333x; interpolation 
16920 <= x 16950; y_565 = 9671.6 + -0.5667x; interpolation 
16950 <= x 16980; y_566 = -8409.0 + 0.5x; interpolation 
16980 <= x 17010; y_567 = 1213.6 + -0.0667x; interpolation 
17010 <= x 17040; y_568 = -487.4 + 0.0333x; interpolation 
17040 <= x 17070; y_569 = 7463.4 + -0.4333x; interpolation 
17070 <= x 17100; y_570 = 2342.4 + -0.1333x; interpolation 
17100 <= x 17130; y_571 = -8487.0 + 0.5x; interpolation 
17130 <= x 17160; y_572 = 8072.6 + -0.4667x; interpolation 
17160 <= x 17190; y_573 = -507.4 + 0.0333x; interpolation 
17190 <= x 17220; y_574 = -7383.4 + 0.4333x; interpolation 
17220 <= x 17250; y_575 = 78.0 + 0.0x; interpolation 
17250 <= x 17280; y_576 = 9853.6 + -0.5667x; interpolation 
17280 <= x 17310; y_577 = -3970.4 + 0.2333x; interpolation 
17310 <= x 17340; y_578 = 2953.6 + -0.1667x; interpolation 
17340 <= x 17370; y_579 = -6295.6 + 0.3667x; interpolation 
17370 <= x 17400; y_580 = 4706.6 + -0.2667x; interpolation 
17400 <= x 17430; y_581 = -1094.6 + 0.0667x; interpolation 
17430 <= x 17460; y_582 = -6904.0 + 0.4x; interpolation 
17460 <= x 17490; y_583 = 1826.0 + -0.1x; interpolation 
17490 <= x 17520; y_584 = 7073.0 + -0.4x; interpolation 
17520 <= x 17550; y_585 = -2270.4 + 0.1333x; interpolation 
17550 <= x 17580; y_586 = -6366.6 + 0.3667x; interpolation 
17580 <= x 17610; y_587 = -1092.6 + 0.0667x; interpolation 
17610 <= x 17640; y_588 = 3017.6 + -0.1667x; interpolation 
17640 <= x 17670; y_589 = 7720.4 + -0.4333x; interpolation 
17670 <= x 17700; y_590 = -9949.6 + 0.5667x; interpolation 
17700 <= x 17730; y_591 = 81.0 + 0.0x; interpolation 
17730 <= x 17760; y_592 = 8946.0 + -0.5x; interpolation 
17760 <= x 17790; y_593 = -9405.4 + 0.5333x; interpolation 
17790 <= x 17820; y_594 = 9569.4 + -0.5333x; interpolation 
17820 <= x 17850; y_595 = 66.0 + 0.0x; interpolation 
17850 <= x 17880; y_596 = -1124.6 + 0.0667x; interpolation 
17880 <= x 17910; y_597 = 5432.0 + -0.3x; interpolation 
17910 <= x 17940; y_598 = -11283.4 + 0.6333x; interpolation 
17940 <= x 17970; y_599 = 8450.6 + -0.4667x; interpolation 
17970 <= x 18000; y_600 = -7124.0 + 0.4x; interpolation 
18000 <= x 18030; y_601 = -2924.6 + 0.1667x; interpolation 
18030 <= x 18060; y_602 = 9096.0 + -0.5x; interpolation 
18060 <= x 18090; y_603 = -8362.6 + 0.4667x; interpolation 
18090 <= x 18120; y_604 = 8522.6 + -0.4667x; interpolation 
18120 <= x 18150; y_605 = -8994.0 + 0.5x; interpolation 
18150 <= x 18180; y_606 = 81.0 + 0.0x; interpolation 
18180 <= x 18210; y_607 = 81.0 + 0.0x; interpolation 
18210 <= x 18240; y_608 = 81.0 + 0.0x; interpolation 
18240 <= x 18270; y_609 = 11025.0 + -0.6x; interpolation 
18270 <= x 18300; y_610 = 15897.6 + -0.8667x; interpolation 
18300 <= x 18330; y_611 = 7357.0 + -0.4x; interpolation 
18330 <= x 18360; y_612 = 1247.6 + -0.0667x; interpolation 
18360 <= x 18390; y_613 = 23.0 + 0.0x; interpolation 
18390 <= x 18420; y_614 = 635.4 + -0.0333x; interpolation 
18420 <= x 18450; y_615 = 635.4 + -0.0333x; interpolation 
18450 <= x 18480; y_616 = -593.4 + 0.0333x; interpolation 
18480 <= x 18510; y_617 = 1254.6 + -0.0667x; interpolation 
18510 <= x 18540; y_618 = 20.0 + 0.0x; interpolation 
18540 <= x 18570; y_619 = 637.4 + -0.0333x; interpolation 
18570 <= x 18600; y_620 = 19.0 + 0.0x; interpolation 
18600 <= x 18630; y_621 = 19.0 + 0.0x; interpolation 
18630 <= x 18660; y_622 = 19.0 + 0.0x; interpolation 
18660 <= x 18690; y_623 = 640.4 + -0.0333x; interpolation 
18690 <= x 18720; y_624 = 18.0 + 0.0x; interpolation 
18720 <= x 18750; y_625 = 18.0 + 0.0x; interpolation 
18750 <= x 18780; y_626 = 18.0 + 0.0x; interpolation 
18780 <= x 18810; y_627 = 18.0 + 0.0x; interpolation 
18810 <= x 18840; y_628 = 18.0 + 0.0x; interpolation 
18840 <= x 18870; y_629 = 18.0 + 0.0x; interpolation 
