0 <= x 30; y_1 = 65.0 + -0.2667x; interpolation 
30 <= x 60; y_2 = 56.0 + 0.0333x; interpolation 
60 <= x 90; y_3 = 24.0 + 0.5667x; interpolation 
90 <= x 120; y_4 = 81.0 + -0.0667x; interpolation 
120 <= x 150; y_5 = 129.0 + -0.4667x; interpolation 
150 <= x 180; y_6 = 64.0 + -0.0333x; interpolation 
180 <= x 210; y_7 = -38.0 + 0.5333x; interpolation 
210 <= x 240; y_8 = 74.0 + 0.0x; interpolation 
240 <= x 270; y_9 = 178.0 + -0.4333x; interpolation 
270 <= x 300; y_10 = 88.0 + -0.1x; interpolation 
300 <= x 330; y_11 = -152.0 + 0.7x; interpolation 
330 <= x 360; y_12 = 134.0 + -0.1667x; interpolation 
360 <= x 390; y_13 = 242.0 + -0.4667x; interpolation 
390 <= x 420; y_14 = 21.0 + 0.1x; interpolation 
420 <= x 450; y_15 = -119.0 + 0.4333x; interpolation 
450 <= x 480; y_16 = 301.0 + -0.5x; interpolation 
480 <= x 510; y_17 = 93.0 + -0.0667x; interpolation 
510 <= x 540; y_18 = 42.0 + 0.0333x; interpolation 
540 <= x 570; y_19 = -210.0 + 0.5x; interpolation 
570 <= x 600; y_20 = 132.0 + -0.1x; interpolation 
600 <= x 630; y_21 = 312.0 + -0.4x; interpolation 
630 <= x 660; y_22 = 18.0 + 0.0667x; interpolation 
660 <= x 690; y_23 = -290.0 + 0.5333x; interpolation 
690 <= x 720; y_24 = 101.0 + -0.0333x; interpolation 
720 <= x 750; y_25 = 533.0 + -0.6333x; interpolation 
750 <= x 780; y_26 = -42.0 + 0.1333x; interpolation 
780 <= x 810; y_27 = -380.0 + 0.5667x; interpolation 
810 <= x 840; y_28 = 160.0 + -0.1x; interpolation 
840 <= x 870; y_29 = 580.0 + -0.6x; interpolation 
870 <= x 900; y_30 = -58.0 + 0.1333x; interpolation 
900 <= x 930; y_31 = -448.0 + 0.5667x; interpolation 
930 <= x 960; y_32 = 141.0 + -0.0667x; interpolation 
960 <= x 990; y_33 = 525.0 + -0.4667x; interpolation 
990 <= x 1020; y_34 = -36.0 + 0.1x; interpolation 
1020 <= x 1050; y_35 = -308.0 + 0.3667x; interpolation 
1050 <= x 1080; y_36 = 77.0 + 0.0x; interpolation 
1080 <= x 1110; y_37 = 617.0 + -0.5x; interpolation 
1110 <= x 1140; y_38 = 62.0 + 0.0x; interpolation 
1140 <= x 1170; y_39 = -584.0 + 0.5667x; interpolation 
1170 <= x 1200; y_40 = 196.0 + -0.1x; interpolation 
1200 <= x 1230; y_41 = 676.0 + -0.5x; interpolation 
1230 <= x 1260; y_42 = -103.0 + 0.1333x; interpolation 
1260 <= x 1290; y_43 = -397.0 + 0.3667x; interpolation 
1290 <= x 1320; y_44 = -10.0 + 0.0667x; interpolation 
1320 <= x 1350; y_45 = 826.0 + -0.5667x; interpolation 
1350 <= x 1380; y_46 = -29.0 + 0.0667x; interpolation 
1380 <= x 1410; y_47 = -673.0 + 0.5333x; interpolation 
1410 <= x 1440; y_48 = 126.0 + -0.0333x; interpolation 
